"link";"title";"date";"source";"article"
"https://finance.sina.com.cn/jjxw/2023-02-05/doc-imyerrnr6530925.shtml";"【一周新基】时隔一年半，单周新发重回30只，头部公募率先布局";"2023年02月05日 15:18";"界面新闻";"　　刚刚过去的春节假期，消费和旅游重现复苏。从投资角度来看，“红一月”也带动了市场的回温。　　下周，将由31只新基金等待发行，继2021年7月后，单周新发基金数量又破30只。从投资类型来看，偏股混合型基金数量最多，达到了15只，偏债混合型基金也有3只。从管理人名单来看，华夏，广发、南方、嘉实、博时等头部公募均有新品待售。责任编辑：卫晓丹 "
"https://finance.sina.com.cn/china/2023-02-05/doc-imyervup6440645.shtml";"iPhone 14 Pro在小程序Apple授权专营店降价700元 个别电商降幅更大";"2023年02月05日 16:02";"上海证券报 ";"　　据上证报，此前有传言称，iPhone14Pro系列全部版本自2月5日起将迎来700元优惠，范围几乎覆盖所有授权门店。2月5日，记者发现，在微信小程序Apple授权专营店上，iPhone14Pro系列已经显示降价700元。与此同时，个别电商平台的iPhone14Pro系列领券立减800元，降价幅度更大。　　一名苹果授权经销商线下门店店员告诉记者，目前店内iPhone14Pro产品未降价，门店暂未接到降价通知，线下产品销售价格将与官网保持一致。一名苹果直营店店员回复口径与此一致。　　目前，苹果官网和淘宝旗舰店的iPhone14Pro价格未有变动。"
"https://finance.sina.com.cn/jjxw/2023-02-05/doc-imyervup6448165.shtml";"iPhone14Pro在小程序Apple授权专营店降价700元 个别电商降幅更大";"2023年02月05日 16:15";"上海证券报 ";"　　转自：上海证券报　　e公司讯，此前有传言称，iPhone 14 Pro系列全部版本自2月5日起将迎来700元优惠，范围几乎覆盖所有授权门店。2月5日，记者发现，在微信小程序Apple授权专营店上，iPhone 14 Pro系列已经显示降价700元。与此同时，个别电商平台的iPhone 14 Pro系列领券立减800元，降价幅度更大。一名苹果(154.5, 3.68, 2.44%)授权经销商线下门店店员告诉记者，目前店内iPhone 14Pro产品未降价，门店暂未接到降价通知，线下产品销售价格将与官网保持一致。一名苹果直营店店员回复口径与此一致。责任编辑：郭明煜 "
"https://finance.sina.com.cn/jjxw/2023-02-05/doc-imyervur3228067.shtml";"中信证券：内资已开始接力外资 成长风格将持续占优";"2023年02月05日 16:18";"市场资讯";"　　转自：证券时报・e公司　　e公司讯，中信证券(21.360, -0.07, -0.33%)研报认为，2月以来内资已开始接力外资，市场风格已从1月的价值转向成长，国内机构调仓和加仓将进一步强化成长风格，外部扰动影响外资流入节奏，不改全年流入趋势，虽然权重指数过去一周表现平淡，但成长指数表现亮眼，市场依然处于全面修复途中，成长洼地依然是近期主线。配置上，建议持续关注成长洼地，提高新兴(3.510, 0.06, 1.74%)产业中半导体和信创的配置优先级。责任编辑：卫晓丹 "
"https://finance.sina.com.cn/jjxw/2023-02-05/doc-imyervup6480053.shtml";"中信证券：高功率充电桩迎风起 把握新一轮政策窗口期";"2023年02月05日 16:57";"市场资讯";"　　转自：证券时报・e公司　　e公司讯，中信证券(21.360, -0.07, -0.33%)研报认为，据测算，未来三年公共充电桩市场规模有望达487亿元。近年来，全球新能源汽车渗透率持续提升，充电桩作为支撑新能源汽车发展的配套基础设备，受政策端和需求端双重因素驱动，未来有望进入加速建设期，远期市场空间超千亿元。目前，行业迎来积极变化，高压快充车型加速投放引领快充趋势，直流快充桩替代交流慢充桩提升单桩ASP，单桩利用效率提升带来运营端盈利提升，中国企业出海布局加速，有望给行业带来巨大的投资机遇，建议把握充电桩设备端和运营端两条投资主线。责任编辑：卫晓丹 "
"https://finance.sina.com.cn/jjxw/2023-02-05/doc-imyervup6483957.shtml";"中信证券：高功率充电桩迎风起，把握新一轮政策窗口期";"2023年02月05日 17:00";"界面新闻";"　　中信证券(21.360, -0.07, -0.33%)研报认为，据测算，未来三年公共充电桩市场规模有望达487亿元。近年来，全球新能源汽车渗透率持续提升，充电桩作为支撑新能源汽车发展的配套基础设备，受政策端和需求端双重因素驱动，未来有望进入加速建设期，远期市场空间超千亿元。目前，行业迎来积极变化，高压快充车型加速投放引领快充趋势，直流快充桩替代交流慢充桩提升单桩ASP，单桩利用效率提升带来运营端盈利提升，中国企业出海布局加速，有望给行业带来巨大的投资机遇，建议把握充电桩设备端和运营端两条投资主线。责任编辑：卫晓丹 "
"https://finance.sina.com.cn/jjxw/2023-02-05/doc-imyerrnt3318773.shtml";"中金：2023年市场机会仍大于风险";"2023年02月05日 15:32";"市场资讯";"　　转自：证券时报・e公司　　e公司讯，中金公司(40.900, -0.10, -0.24%)研报认为，考虑经济活动的修复仍在持续，我们近期持续跟踪的主要城市的拥堵指数和地铁出行人次在春节后快速反弹，工业煤耗量等高频数据回升力度也强于往年，高频数据的改善仍有望对市场形成一定支持，市场估值虽有所修复但仍有空间，我们认为对后续市场演绎不用过于谨慎，2023年市场机会仍大于风险。配置建议：短期紧跟政策边际变化的节奏，中期偏成长。责任编辑：卫晓丹 "
"https://finance.sina.com.cn/jjxw/2023-02-05/doc-imyerrnr6545916.shtml";"乘联会崔东树：去年汽车行业总体表现不强，销售利润率仅5.7%";"2023年02月05日 15:34";"新京报";"　　2月5日，乘联会秘书长崔东树在其微信公众号发文称，12月份，受疫情管控放开和政策到期等利好因素促进，工业生产有所恢复，企业经营压力稍有改善，但利润结构持续偏向矿业。6-9月受益于产业链供应链持续恢复、减免车辆购置税政策提振消费需求等有利因素，生产销售持续回升，营业收入实现较快增长。但10-11月的市场阻隔导致库存暴增，产销恶化。12月终于放开了，市场就全面恢复了。　　2022年12月的汽车行业收入9174亿元，同比降4%；成本7716亿元降5%；利润557亿元，同比增3%；汽车行业利润率6.1%，相对于整个工业企业利润率7%的平均水平，汽车行业仍偏低。　　2022年1-12月汽车行业收入92900亿元，收入增6.8%；成本79833亿元，增7%；利润5320亿元，利润总体同比增1%。汽车行业总体表现不强，但改善明显，相对于整个工业企业利润率7%的平均水平，汽车行业压力较大。　　2022年1-12月汽车行业利润总体表现不强，销售利润率仅有5.7%，较历史正常水平下降较大。12月份，随着企业复工复产持续推进，长三角和东北地区工业企业利润降幅较上月明显收窄，推动12月销售利润率回升到6.1%的较好状态。责任编辑：卫晓丹 "
"https://finance.sina.com.cn/jjxw/2023-02-05/doc-imyerrnt3285032.shtml";"乘联会秘书长崔东树：2022年汽车行业总体表现不强 销售利润率仅5.7%";"2023年02月05日 14:49";"媒体滚动";"　　转自：证券时报・e公司　　e公司讯，乘联会秘书长崔东树发文称，1-12月汽车行业收入92900亿元，收入增6.8%；成本79833亿元，增7%；利润5320亿元，利润总体同比增1%。汽车行业总体表现不强，但改善明显，相对于整个工业企业利润率7%的平均水平，汽车行业压力较大。2022年1-12月汽车行业利润总体表现不强，销售利润率仅有5.7%，较历史正常水平下降较大。12月份，随着企业复工复产持续推进，长三角和东北地区工业企业利润降幅较上月明显收窄，推动12月销售利润率回升到6.1%的较好状态。责任编辑：吴剑 "
"https://finance.sina.com.cn/stock/usstock/c/2023-02-05/doc-imyervur3228932.shtml";"匈牙利能源部：欧洲将面临新一轮能源价格飙升和能源短缺";"2023年02月05日 16:18";"央视网";"　　据俄罗斯媒体报道，针对欧盟对俄罗斯能源的制裁措施，匈牙利能源部当地时间2月4日对此警告称，欧洲将面临新一轮的能源价格上涨以及能源短缺问题。　　匈牙利能源部表示，欧洲国家将不可避免地面临能源价格飙升以及能源短缺问题，因为到目前为止欧盟的能源需求有约50%由俄罗斯供应。　　匈牙利能源部说，匈牙利反对进一步扩大对俄能源制裁。欧盟对俄罗斯实施的制裁措施并没有结束冲突。欧洲消费者却面临着物价大幅上涨和陷入能源危机的困境，失败的制裁政策使欧洲陷入危机，给国家、企业和欧洲很多家庭带来了沉重负担。　　匈牙利近期通胀高企。官方数据显示，匈牙利2022年12月消费者价格指数较2021年同期上涨24.5%，涨幅为1996年3月以来最高。其中，电力、天然气和其他燃料价格同比均有上涨。匈牙利多次明确反对制裁俄罗斯，强调这样做会反噬欧洲经济。责任编辑：郭明煜 "
"https://finance.sina.com.cn/jjxw/2023-02-05/doc-imyervup6470567.shtml";"华数传媒业绩快报：2022年净利润7.92亿元 同比下降12.62%";"2023年02月05日 16:45";"市场资讯";"　　转自：证券时报・e公司　　e公司讯，华数传媒(7.880, 0.10, 1.29%)（000156）2月5日晚间发布业绩快报，2022年公司实现营业总收入92.93亿元，同比增长9.54%；归母净利润7.92亿元，同比下降12.62%；基本每股收益0.4276元。净利润同比下降的主要原因为公司加大了研发投入，在智慧家庭与智慧城市等领域不断加强技术积累，并持续加大基础网络设施投入，同时受疫情影响减免了部分宾馆酒店行业的费用等。责任编辑：卫晓丹 "
"https://finance.sina.com.cn/stock/usstock/c/2023-02-05/doc-imyervup6457985.shtml";"叙利亚央行再次大幅调整叙镑兑美元官方汇率";"2023年02月05日 16:27";"央视网";"　　当地时间2月5日，叙利亚中央银行两个月内第二次大幅调整叙镑对美元汇率，由此前的4522叙镑兑换1美元调整为6800叙镑兑换1美元，叙镑兑美元贬值50%左右。　　就在今年1月2日，叙利亚央行已将叙镑兑美元汇率做出调整，由3015叙镑兑换1美元调整为4522叙镑兑换1美元。　　目前，叙利亚危机已经持续11年，多年战乱叠加美国等国家针对叙利亚的单边制裁，导致叙利亚经济持续低迷、物价飞涨、通胀高企、叙镑持续贬值。（总台记者 倪紫慧）责任编辑：郭明煜 "
"https://finance.sina.com.cn/jjxw/2023-02-05/doc-imyervup6491434.shtml";"塔塔汽车计划在12-18个月内投产原福特印度工厂";"2023年02月05日 17:10";"界面新闻";"　　据印度《经济时报》2月5日报道，塔塔汽车乘用车业务负责人表示，该公司正寻求在未来12-18个月内将其从福特收购的古吉拉特邦制造工厂投入运营，以扩大其产能。本月早些时候，塔塔汽车完成了对福特印度的萨纳德工厂的收购。去年8月，该公司宣布其子公司塔塔乘用电动汽车有限公司将以72.6亿卢比收购福特印度私人有限公司位于古吉拉特邦的萨纳德工厂。责任编辑：郭明煜 "
"https://finance.sina.com.cn/stock/usstock/c/2023-02-05/doc-imyervup6452008.shtml";"外媒：H5N1病毒在欧洲卷土重来 哺乳动物感染成倍增加";"2023年02月05日 16:20";"央视网";"西班牙《阿贝赛报》网站4日发表一篇记者伊莎贝尔・米兰达的报道，全文摘编如下：欧洲的禽流感疫情暴发带来了更多影响。由于禽类动物感染数量空前，暴发疫情的地区范围扩大、时间增长以及H5N1型禽流感病毒的易传染性提高等因素，一个新的关注焦点出现了：狐狸、水貂、熊、海豹等哺乳动物的感染成倍增加，病毒发生突变的风险也随之提升。这是欧洲有史以来最大的一次禽流感疫情暴发，根据欧洲疾病预防控制中心（ECDC）的数据，此次疫情涉及37个国家，5000万只家禽被扑杀。与此前不同，此次疫情甚至在去年整个夏季都没有停止过。尽管传染给人类的风险很低，但已经发生了三起感染，其中两起发生在西班牙。“这种进展在各个方面都令人担忧，”西班牙狩猎资源研究所兽医乌尔苏拉・赫夫勒表示，“传播到哺乳动物是我们最担心的事情”。此外，与过往疫情相比，此次疫情中H5N1病毒的行为“发生了很大变化”，它会感染以前不易感染的鸟类，例如秃鹰。而且传播不是季节性的，“这次流行病有很多与其他流行病截然不同的地方”，赫夫勒指出。问题在于，病毒暴露和感染的水平越高，病毒就越有可能获得突变，尤其是在物种跳跃的情况下。尤其令人担忧的情况是，病毒通过水貂或猪等可以充当“搅拌器”的动物来重组其他流感病毒片段：这可能促进病毒发生可以进行人际传播的基因突变。ECDC在其最新评估报告中承认，哺乳动物的感染数量正在“增长”。这种情况“突显了禽流感病毒向人类传播的持续风险，而且这些病毒可能会进一步适应哺乳动物”。尽管所有警报都已启动，但H5N1病毒传染给人类并不容易。人类需要与病毒有密切、直接和持久的接触，感染才会发生。ECDC目前将传染给人的风险评为“低”。在有上述密切接触情况的人群中（例如农民或兽医），这种风险从中到低。“防止人类病例的出现非常重要，因为禽流感病毒有可能与其他季节性流感病毒重组或以提高其人际传播能力的方式适应人类。此外，尽管很少见，但人类的病例可能会变得非常严重。”西班牙卫生部3日警告说。责任编辑：郭明煜 "
"https://finance.sina.com.cn/jjxw/2023-02-05/doc-imyerrnt3323407.shtml";"汇金通：预中标2.2亿元南方电网招标项目";"2023年02月05日 15:38";"市场资讯";"　　转自：证券时报・e公司　　e公司讯，汇金通(11.110, -0.03, -0.27%)（603577）2月5日晚间公告，公司及下属子公司为南方电网公司2022年主网线路材料第二批框架招标项目中标候选人，预计合计中标金额约为2.2亿元，约占公司2021年度经审计营业收入的8.79%。责任编辑：卫晓丹 "
"https://finance.sina.com.cn/jjxw/2023-02-05/doc-imyerrnt3297588.shtml";"海通策略：近期外资已发力，后续内资望跟上";"2023年02月05日 15:03";"界面新闻";"　　2月5日消息，海通证券(9.360, -0.10, -1.06%)策略团队发文成，借鉴上一轮牛市起点19年1月资金节奏，外资于18年11月先进场，而内资后续会接力，公募、杠杆资金从19年2月-3月起加速入市。22年10月以来是新一轮牛市初期，类似2019年，近期外资已发力，预计23年全年净流入3000亿以上，后续内资望跟上，公募或成为重要增量。对比历史，本轮牛市第一波上涨未完，行情后半段重视成长，如数字经济、券商、新能源，全年维度关注消费。责任编辑：卫晓丹 "
"https://finance.sina.com.cn/jjxw/2023-02-05/doc-imyervup6509538.shtml";"渣打银行停止接受阿达尼债券作为抵押品";"2023年02月05日 17:31";"界面新闻";"　　彭博2月5日消息，据印度媒体ET Now报道，渣打银行已停止接受阿达尼集团的债券作为保证金贷款的抵押品。报道称，渣打银行已要求其私人客户补足抵押品缺口。　　此前，花旗集团的财富部门和瑞士信贷(3.56, -0.12, -3.26%)集团也采取了类似的行动。责任编辑：郭明煜 "
